,year,biome,country_of_production,product_type,forest_500_beef,zero_deforestation_brazil_beef,state_of_production,municipality_of_production,logistics_hub,exporter,exporter_group,importer,importer_group,country_of_destination,economic_bloc,volume,fob,cattle_deforestation_5_year_total_exposure,co2_gross_emissions_cattle_deforestation_5_year_total_exposure,co2_net_emissions_cattle_deforestation_5_year_total_exposure,land_use,state_of_production_trase_id,municipality_of_production_trase_id,country_of_production_trase_id,country_of_destination_trase_id
779020,2016,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,RXM IMPORTACAO E EXPORTACAO,RXM IMPORTACAO E EXPORTACAO,KISNER COMPANY,KISNER COMPANY,CHINA (HONG KONG),CHINA (HONG KONG),9.204630395277595,30559.133386031128,5.060705791323622,3003.827117175377,2826.8183928220305,103.85216504753647,BR-12,BR-1200401,BR,HK
881189,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),37.78733094860807,122678.91562483252,22.468346982042355,13529.005656996334,12704.467202032232,569.6180381498302,BR-12,BR-1200401,BR,HK
884016,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,RIO BRANCO,RIO BRANCO,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRIGORIFICO ALL FOOD,FRIGORIFICO ALL FOOD,PARAGUAY,PARAGUAY,29.052617742371385,19875.56684900359,17.274686509614025,10401.714540824774,9767.77189537736,437.9482410131994,BR-12,BR-1200401,BR,PY
885117,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),27.01268597327068,87698.36186159743,6.5478750799208125,3927.43924410016,3687.099273190179,440.4211757996175,BR-12,BR-1200450,BR,HK
885276,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,BUJARI,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),26.68620947189514,86638.43563340705,11.736594925739483,7077.116036422911,6646.421964514101,406.689192009474,BR-12,BR-1200138,BR,HK
889593,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,SENADOR GUIOMARD,RIO BRANCO,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRIGORIFICO ALL FOOD,FRIGORIFICO ALL FOOD,PARAGUAY,PARAGUAY,20.768580899336012,14208.265901687344,5.03430400999905,3019.5938215486217,2834.80952671296,338.6158203010992,BR-12,BR-1200450,BR,PY
889821,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,BUJARI,RIO BRANCO,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRIGORIFICO ALL FOOD,FRIGORIFICO ALL FOOD,PARAGUAY,PARAGUAY,20.517570924346508,14036.544180019746,9.023627692527594,5441.208515209383,5110.0713345471695,312.6811377991849,BR-12,BR-1200138,BR,PY
891604,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,RIO BRANCO,RIO BRANCO,JBS S/A,JBS,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),18.65381664255364,65367.45273467106,11.091559375662392,6678.629703296807,6271.594097247965,281.1934628140085,BR-12,BR-1200401,BR,HK
892267,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,RIO BRANCO,RIO BRANCO,JBS S/A,JBS,ORIENTAL PARTNERS,ORIENTAL PARTNERS,CHINA (HONG KONG),CHINA (HONG KONG),18.0188919113173,66181.6950635053,10.714033130469268,6451.307474787315,6058.1262438364165,271.6224089528209,BR-12,BR-1200401,BR,HK
893477,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,BETTER YIELD GROUP,BETTER YIELD GROUP,CHINA (HONG KONG),CHINA (HONG KONG),16.935231249767313,55043.96006706528,10.069688501111644,6063.32423140044,5693.7890179148935,255.2869694137923,BR-12,BR-1200401,BR,HK
898060,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,BRASILEIA,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),13.751591545393463,44645.395600946205,11.602217786848469,6974.679342022193,6548.872311092321,217.9506045308142,BR-12,BR-1200104,BR,HK
898108,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,SENA MADUREIRA,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),13.72904101174898,44572.183893614216,17.987789533593514,10813.701119369704,10153.551165552562,201.5988696888447,BR-12,BR-1200500,BR,HK
898801,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,SENADOR GUIOMARD,RIO BRANCO,JBS S/A,JBS,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),13.334884431334332,46728.63706610445,3.2323759861554424,1938.790851194334,1820.146383943423,217.4150873486494,BR-12,BR-1200450,BR,HK
899100,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,BUJARI,RIO BRANCO,JBS S/A,JBS,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),13.173718436227553,46163.87271951246,5.793801368252877,3493.637194991456,3281.023918405492,200.76320364014663,BR-12,BR-1200138,BR,HK
899393,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,XAPURI,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),13.032459629620414,42310.68919529318,8.886834221438159,5319.675385852016,4993.530264144987,192.35511142177413,BR-12,BR-1200708,BR,HK
899738,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,SENADOR GUIOMARD,RIO BRANCO,JBS S/A,JBS,ORIENTAL PARTNERS,ORIENTAL PARTNERS,CHINA (HONG KONG),CHINA (HONG KONG),12.881001557074798,47310.70708223916,3.122354777434931,1872.799730786842,1758.1935956330803,210.01487437632608,BR-12,BR-1200450,BR,HK
900009,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,BUJARI,RIO BRANCO,JBS S/A,JBS,ORIENTAL PARTNERS,ORIENTAL PARTNERS,CHINA (HONG KONG),CHINA (HONG KONG),12.725321210191566,46738.90781203345,5.596596268242251,3374.7233716397777,3169.3468675642544,193.92977509541768,BR-12,BR-1200138,BR,HK
901335,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,BETTER YIELD GROUP,BETTER YIELD GROUP,CHINA (HONG KONG),CHINA (HONG KONG),12.106334905126074,39348.775652852935,2.9345755810025604,1760.1690870600523,1652.455393508674,197.384527359313,BR-12,BR-1200450,BR,HK
